,FPR_lset-cora-GCN,TPR_lset-cora-GCN,FPR_bayes-optimal-cora-GCN-MI-small,TPR_bayes-optimal-cora-GCN-MI-small,FPR_bayes-optimal-cora-GCN-MI-large,TPR_bayes-optimal-cora-GCN-MI-large
0,0.0,0.0,,,,
1,0.0,0.004,,,,
2,0.0,0.076,,,,
3,0.004,0.076,,,,
4,0.004,0.108,,,,
5,0.008,0.108,,,,
6,0.008,0.124,,,,
7,0.012,0.124,,,,
8,0.012,0.172,,,,
9,0.016,0.172,,,,
10,0.016,0.184,,,,
11,0.024,0.184,,,,
12,0.024,0.188,,,,
13,0.028,0.188,,,,
14,0.028,0.192,,,,
15,0.032,0.192,,,,
16,0.032,0.212,,,,
17,0.036,0.212,,,,
18,0.036,0.232,,,,
19,0.04,0.232,,,,
20,0.04,0.236,,,,
21,0.044,0.236,,,,
22,0.044,0.248,,,,
23,0.048,0.248,,,,
24,0.048,0.308,,,,
25,0.052,0.308,,,,
26,0.052,0.32,,,,
27,0.056,0.32,,,,
28,0.056,0.336,,,,
29,0.06,0.336,,,,
30,0.06,0.34,,,,
31,0.064,0.34,,,,
32,0.064,0.364,,,,
33,0.072,0.364,,,,
34,0.072,0.424,,,,
35,0.076,0.424,,,,
36,0.076,0.428,,,,
37,0.08,0.428,,,,
38,0.08,0.432,,,,
39,0.084,0.432,,,,
40,0.084,0.44,,,,
41,0.088,0.44,,,,
42,0.088,0.48,,,,
43,0.092,0.48,,,,
44,0.092,0.488,,,,
45,0.096,0.488,,,,
46,0.096,0.532,,,,
47,0.104,0.532,,,,
48,0.104,0.54,,,,
49,0.108,0.54,,,,
50,0.108,0.544,,,,
51,0.112,0.544,,,,
52,0.112,0.556,,,,
53,0.116,0.556,,,,
54,0.116,0.56,,,,
55,0.124,0.56,,,,
56,0.124,0.6,,,,
57,0.128,0.6,,,,
58,0.128,0.604,,,,
59,0.14,0.604,,,,
60,0.14,0.608,,,,
61,0.156,0.608,,,,
62,0.156,0.62,,,,
63,0.172,0.62,,,,
64,0.172,0.624,,,,
65,0.184,0.624,,,,
66,0.184,0.628,,,,
67,0.192,0.628,,,,
68,0.192,0.632,,,,
69,0.196,0.632,,,,
70,0.196,0.636,,,,
71,0.2,0.636,,,,
72,0.2,0.644,,,,
73,0.204,0.644,,,,
74,0.204,0.66,,,,
75,0.208,0.66,,,,
76,0.208,0.672,,,,
77,0.212,0.672,,,,
78,0.212,0.676,,,,
79,0.216,0.676,,,,
80,0.216,0.692,,,,
81,0.22,0.692,,,,
82,0.22,0.696,,,,
83,0.224,0.696,,,,
84,0.224,0.708,,,,
85,0.228,0.708,,,,
86,0.228,0.712,,,,
87,0.232,0.712,,,,
88,0.232,0.72,,,,
89,0.236,0.72,,,,
90,0.236,0.724,,,,
91,0.248,0.724,,,,
92,0.248,0.744,,,,
93,0.256,0.744,,,,
94,0.256,0.756,,,,
95,0.26,0.756,,,,
96,0.26,0.764,,,,
97,0.264,0.764,,,,
98,0.264,0.788,,,,
99,0.268,0.788,,,,
100,0.268,0.8,,,,
101,0.272,0.8,,,,
102,0.272,0.816,,,,
103,0.28,0.816,,,,
104,0.28,0.82,,,,
105,0.3,0.82,,,,
106,0.3,0.832,,,,
107,0.312,0.832,,,,
108,0.312,0.836,,,,
109,0.32,0.836,,,,
110,0.32,0.84,,,,
111,0.336,0.84,,,,
112,0.336,0.844,,,,
113,0.34,0.844,,,,
114,0.34,0.848,,,,
115,0.368,0.848,,,,
116,0.368,0.852,,,,
117,0.384,0.852,,,,
118,0.384,0.856,,,,
119,0.396,0.856,,,,
120,0.396,0.86,,,,
121,0.412,0.86,,,,
122,0.412,0.864,,,,
123,0.428,0.864,,,,
124,0.428,0.872,,,,
125,0.432,0.872,,,,
126,0.432,0.876,,,,
127,0.44,0.876,,,,
128,0.44,0.88,,,,
129,0.444,0.88,,,,
130,0.444,0.884,,,,
131,0.464,0.884,,,,
132,0.464,0.892,,,,
133,0.488,0.892,,,,
134,0.488,0.896,,,,
135,0.496,0.896,,,,
136,0.496,0.9,,,,
137,0.5,0.9,,,,
138,0.5,0.904,,,,
139,0.512,0.904,,,,
140,0.512,0.908,,,,
141,0.528,0.908,,,,
142,0.528,0.912,,,,
143,0.56,0.912,,,,
144,0.56,0.916,,,,
145,0.568,0.916,,,,
146,0.568,0.92,,,,
147,0.576,0.92,,,,
148,0.576,0.924,,,,
149,0.584,0.924,,,,
150,0.584,0.928,,,,
151,0.612,0.928,,,,
152,0.612,0.932,,,,
153,0.656,0.932,,,,
154,0.656,0.936,,,,
155,0.66,0.936,,,,
156,0.66,0.94,,,,
157,0.74,0.94,,,,
158,0.74,0.952,,,,
159,0.78,0.952,,,,
160,0.78,0.956,,,,
161,0.784,0.956,,,,
162,0.784,0.96,,,,
163,0.796,0.96,,,,
164,0.796,0.968,,,,
165,0.804,0.968,,,,
166,0.804,0.972,,,,
167,0.88,0.972,,,,
168,0.88,0.976,,,,
169,0.888,0.976,,,,
170,0.888,0.98,,,,
171,0.9,0.98,,,,
172,0.9,0.984,,,,
173,0.948,0.984,,,,
174,0.948,0.988,,,,
175,0.956,0.988,,,,
176,0.956,0.992,,,,
177,0.96,0.992,,,,
178,0.96,0.996,,,,
179,0.968,0.996,,,,
180,0.968,1.0,,,,
181,1.0,1.0,,,,
0,,,0.0,0.0,,
1,,,0.0,0.004,,
2,,,0.0,0.088,,
3,,,0.004,0.088,,
4,,,0.004,0.092,,
5,,,0.008,0.092,,
6,,,0.008,0.1,,
7,,,0.012,0.1,,
8,,,0.012,0.108,,
9,,,0.016,0.108,,
10,,,0.016,0.116,,
11,,,0.02,0.116,,
12,,,0.02,0.18,,
13,,,0.024,0.18,,
14,,,0.024,0.2,,
15,,,0.032,0.2,,
16,,,0.032,0.236,,
17,,,0.044,0.236,,
18,,,0.044,0.248,,
19,,,0.052,0.248,,
20,,,0.052,0.26,,
21,,,0.056,0.26,,
22,,,0.056,0.268,,
23,,,0.064,0.268,,
24,,,0.064,0.292,,
25,,,0.068,0.292,,
26,,,0.068,0.312,,
27,,,0.084,0.312,,
28,,,0.084,0.32,,
29,,,0.092,0.32,,
30,,,0.092,0.324,,
31,,,0.096,0.324,,
32,,,0.096,0.352,,
33,,,0.1,0.352,,
34,,,0.1,0.356,,
35,,,0.104,0.356,,
36,,,0.104,0.38,,
37,,,0.108,0.38,,
38,,,0.108,0.388,,
39,,,0.112,0.388,,
40,,,0.112,0.396,,
41,,,0.116,0.396,,
42,,,0.116,0.412,,
43,,,0.12,0.412,,
44,,,0.12,0.428,,
45,,,0.128,0.428,,
46,,,0.128,0.448,,
47,,,0.136,0.448,,
48,,,0.136,0.456,,
49,,,0.156,0.456,,
50,,,0.156,0.46,,
51,,,0.16,0.46,,
52,,,0.16,0.476,,
53,,,0.164,0.476,,
54,,,0.164,0.48,,
55,,,0.168,0.48,,
56,,,0.168,0.484,,
57,,,0.176,0.484,,
58,,,0.176,0.496,,
59,,,0.18,0.496,,
60,,,0.18,0.512,,
61,,,0.192,0.512,,
62,,,0.192,0.532,,
63,,,0.196,0.532,,
64,,,0.196,0.54,,
65,,,0.204,0.54,,
66,,,0.204,0.564,,
67,,,0.208,0.564,,
68,,,0.208,0.6,,
69,,,0.212,0.6,,
70,,,0.212,0.612,,
71,,,0.216,0.612,,
72,,,0.216,0.62,,
73,,,0.22,0.62,,
74,,,0.22,0.632,,
75,,,0.228,0.632,,
76,,,0.228,0.64,,
77,,,0.232,0.64,,
78,,,0.232,0.656,,
79,,,0.236,0.656,,
80,,,0.236,0.672,,
81,,,0.24,0.672,,
82,,,0.24,0.676,,
83,,,0.244,0.676,,
84,,,0.244,0.684,,
85,,,0.248,0.684,,
86,,,0.248,0.688,,
87,,,0.252,0.688,,
88,,,0.252,0.704,,
89,,,0.26,0.704,,
90,,,0.26,0.724,,
91,,,0.268,0.724,,
92,,,0.268,0.728,,
93,,,0.276,0.728,,
94,,,0.276,0.736,,
95,,,0.296,0.736,,
96,,,0.296,0.74,,
97,,,0.3,0.74,,
98,,,0.3,0.748,,
99,,,0.308,0.748,,
100,,,0.308,0.752,,
101,,,0.312,0.752,,
102,,,0.312,0.76,,
103,,,0.328,0.76,,
104,,,0.328,0.764,,
105,,,0.336,0.764,,
106,,,0.336,0.776,,
107,,,0.344,0.776,,
108,,,0.344,0.788,,
109,,,0.348,0.788,,
110,,,0.348,0.796,,
111,,,0.356,0.796,,
112,,,0.356,0.804,,
113,,,0.372,0.804,,
114,,,0.372,0.816,,
115,,,0.384,0.816,,
116,,,0.384,0.832,,
117,,,0.396,0.832,,
118,,,0.396,0.836,,
119,,,0.4,0.836,,
120,,,0.4,0.852,,
121,,,0.408,0.852,,
122,,,0.408,0.86,,
123,,,0.416,0.86,,
124,,,0.416,0.864,,
125,,,0.436,0.864,,
126,,,0.436,0.868,,
127,,,0.448,0.868,,
128,,,0.448,0.872,,
129,,,0.464,0.872,,
130,,,0.464,0.88,,
131,,,0.488,0.88,,
132,,,0.488,0.884,,
133,,,0.496,0.884,,
134,,,0.496,0.888,,
135,,,0.508,0.888,,
136,,,0.508,0.892,,
137,,,0.516,0.892,,
138,,,0.516,0.896,,
139,,,0.528,0.896,,
140,,,0.528,0.908,,
141,,,0.552,0.908,,
142,,,0.552,0.912,,
143,,,0.56,0.912,,
144,,,0.56,0.916,,
145,,,0.564,0.916,,
146,,,0.564,0.92,,
147,,,0.576,0.92,,
148,,,0.576,0.924,,
149,,,0.584,0.924,,
150,,,0.584,0.928,,
151,,,0.592,0.928,,
152,,,0.592,0.932,,
153,,,0.596,0.932,,
154,,,0.596,0.936,,
155,,,0.624,0.936,,
156,,,0.624,0.94,,
157,,,0.664,0.94,,
158,,,0.664,0.944,,
159,,,0.672,0.944,,
160,,,0.672,0.948,,
161,,,0.676,0.948,,
162,,,0.676,0.952,,
163,,,0.688,0.952,,
164,,,0.688,0.964,,
165,,,0.748,0.964,,
166,,,0.748,0.972,,
167,,,0.768,0.972,,
168,,,0.768,0.976,,
169,,,0.78,0.976,,
170,,,0.78,0.98,,
171,,,0.876,0.98,,
172,,,0.876,0.984,,
173,,,0.936,0.984,,
174,,,0.936,0.988,,
175,,,0.976,0.988,,
176,,,0.976,0.992,,
177,,,0.984,0.992,,
178,,,0.984,0.996,,
179,,,0.992,0.996,,
180,,,0.992,1.0,,
181,,,1.0,1.0,,
0,,,,,0.0,0.0
1,,,,,0.0,0.004
2,,,,,0.0,0.08
3,,,,,0.004,0.08
4,,,,,0.004,0.104
5,,,,,0.008,0.104
6,,,,,0.008,0.124
7,,,,,0.012,0.124
8,,,,,0.012,0.128
9,,,,,0.024,0.128
10,,,,,0.024,0.164
11,,,,,0.028,0.164
12,,,,,0.028,0.168
13,,,,,0.032,0.168
14,,,,,0.032,0.204
15,,,,,0.036,0.204
16,,,,,0.036,0.224
17,,,,,0.04,0.224
18,,,,,0.04,0.228
19,,,,,0.044,0.228
20,,,,,0.044,0.24
21,,,,,0.048,0.24
22,,,,,0.048,0.26
23,,,,,0.052,0.26
24,,,,,0.052,0.288
25,,,,,0.056,0.288
26,,,,,0.056,0.308
27,,,,,0.064,0.308
28,,,,,0.064,0.324
29,,,,,0.068,0.324
30,,,,,0.068,0.328
31,,,,,0.076,0.328
32,,,,,0.076,0.34
33,,,,,0.08,0.34
34,,,,,0.08,0.344
35,,,,,0.084,0.344
36,,,,,0.084,0.352
37,,,,,0.088,0.352
38,,,,,0.088,0.356
39,,,,,0.092,0.356
40,,,,,0.092,0.372
41,,,,,0.096,0.372
42,,,,,0.096,0.38
43,,,,,0.1,0.38
44,,,,,0.1,0.392
45,,,,,0.108,0.392
46,,,,,0.108,0.424
47,,,,,0.112,0.424
48,,,,,0.112,0.428
49,,,,,0.116,0.428
50,,,,,0.116,0.452
51,,,,,0.12,0.452
52,,,,,0.12,0.456
53,,,,,0.136,0.456
54,,,,,0.136,0.464
55,,,,,0.14,0.464
56,,,,,0.14,0.472
57,,,,,0.152,0.472
58,,,,,0.152,0.484
59,,,,,0.16,0.484
60,,,,,0.16,0.492
61,,,,,0.168,0.492
62,,,,,0.168,0.5
63,,,,,0.172,0.5
64,,,,,0.172,0.508
65,,,,,0.176,0.508
66,,,,,0.176,0.52
67,,,,,0.18,0.52
68,,,,,0.18,0.524
69,,,,,0.184,0.524
70,,,,,0.184,0.536
71,,,,,0.188,0.536
72,,,,,0.188,0.552
73,,,,,0.192,0.552
74,,,,,0.192,0.556
75,,,,,0.196,0.556
76,,,,,0.196,0.568
77,,,,,0.2,0.568
78,,,,,0.2,0.584
79,,,,,0.208,0.584
80,,,,,0.208,0.588
81,,,,,0.212,0.588
82,,,,,0.212,0.592
83,,,,,0.216,0.592
84,,,,,0.216,0.616
85,,,,,0.22,0.616
86,,,,,0.22,0.624
87,,,,,0.232,0.624
88,,,,,0.232,0.628
89,,,,,0.236,0.628
90,,,,,0.236,0.632
91,,,,,0.24,0.632
92,,,,,0.24,0.636
93,,,,,0.248,0.636
94,,,,,0.248,0.648
95,,,,,0.252,0.648
96,,,,,0.252,0.668
97,,,,,0.26,0.668
98,,,,,0.26,0.692
99,,,,,0.264,0.692
100,,,,,0.264,0.704
101,,,,,0.276,0.704
102,,,,,0.276,0.724
103,,,,,0.28,0.724
104,,,,,0.28,0.732
105,,,,,0.284,0.732
106,,,,,0.284,0.74
107,,,,,0.288,0.74
108,,,,,0.288,0.748
109,,,,,0.292,0.748
110,,,,,0.292,0.76
111,,,,,0.296,0.76
112,,,,,0.296,0.776
113,,,,,0.3,0.776
114,,,,,0.3,0.784
115,,,,,0.304,0.784
116,,,,,0.304,0.792
117,,,,,0.308,0.792
118,,,,,0.308,0.796
119,,,,,0.34,0.796
120,,,,,0.34,0.8
121,,,,,0.344,0.8
122,,,,,0.344,0.808
123,,,,,0.348,0.808
124,,,,,0.348,0.812
125,,,,,0.356,0.812
126,,,,,0.356,0.816
127,,,,,0.36,0.816
128,,,,,0.36,0.82
129,,,,,0.38,0.82
130,,,,,0.38,0.848
131,,,,,0.396,0.848
132,,,,,0.396,0.86
133,,,,,0.408,0.86
134,,,,,0.408,0.864
135,,,,,0.42,0.864
136,,,,,0.42,0.868
137,,,,,0.424,0.868
138,,,,,0.424,0.872
139,,,,,0.444,0.872
140,,,,,0.444,0.884
141,,,,,0.452,0.884
142,,,,,0.452,0.888
143,,,,,0.488,0.888
144,,,,,0.488,0.892
145,,,,,0.492,0.892
146,,,,,0.492,0.9
147,,,,,0.512,0.9
148,,,,,0.512,0.904
149,,,,,0.52,0.904
150,,,,,0.52,0.908
151,,,,,0.536,0.908
152,,,,,0.536,0.912
153,,,,,0.564,0.912
154,,,,,0.564,0.916
155,,,,,0.572,0.916
156,,,,,0.572,0.92
157,,,,,0.6,0.92
158,,,,,0.6,0.924
159,,,,,0.612,0.924
160,,,,,0.612,0.928
161,,,,,0.624,0.928
162,,,,,0.624,0.932
163,,,,,0.64,0.932
164,,,,,0.64,0.936
165,,,,,0.664,0.936
166,,,,,0.664,0.948
167,,,,,0.704,0.948
168,,,,,0.704,0.952
169,,,,,0.72,0.952
170,,,,,0.72,0.964
171,,,,,0.728,0.964
172,,,,,0.728,0.968
173,,,,,0.748,0.968
174,,,,,0.748,0.972
175,,,,,0.788,0.972
176,,,,,0.788,0.976
177,,,,,0.792,0.976
178,,,,,0.792,0.98
179,,,,,0.852,0.98
180,,,,,0.852,0.984
181,,,,,0.936,0.984
182,,,,,0.936,0.988
183,,,,,0.968,0.988
184,,,,,0.968,0.992
185,,,,,0.976,0.992
186,,,,,0.976,0.996
187,,,,,0.992,0.996
188,,,,,0.992,1.0
189,,,,,1.0,1.0
