,FPR_bayes-optimal-cora-GCN-0,TPR_bayes-optimal-cora-GCN-0,FPR_bayes-optimal-cora-GCN-MIA0-small,TPR_bayes-optimal-cora-GCN-MIA0-small,FPR_bayes-optimal-cora-GCN-MIA0-large,TPR_bayes-optimal-cora-GCN-MIA0-large
0,0.0,0.0,,,,
1,0.0,0.004,,,,
2,0.0,0.076,,,,
3,0.004,0.076,,,,
4,0.004,0.108,,,,
5,0.008,0.108,,,,
6,0.008,0.124,,,,
7,0.012,0.124,,,,
8,0.012,0.172,,,,
9,0.016,0.172,,,,
10,0.016,0.184,,,,
11,0.024,0.184,,,,
12,0.024,0.188,,,,
13,0.028,0.188,,,,
14,0.028,0.192,,,,
15,0.032,0.192,,,,
16,0.032,0.212,,,,
17,0.036,0.212,,,,
18,0.036,0.232,,,,
19,0.04,0.232,,,,
20,0.04,0.236,,,,
21,0.044,0.236,,,,
22,0.044,0.248,,,,
23,0.048,0.248,,,,
24,0.048,0.308,,,,
25,0.052,0.308,,,,
26,0.052,0.32,,,,
27,0.056,0.32,,,,
28,0.056,0.336,,,,
29,0.06,0.336,,,,
30,0.06,0.34,,,,
31,0.064,0.34,,,,
32,0.064,0.364,,,,
33,0.072,0.364,,,,
34,0.072,0.424,,,,
35,0.076,0.424,,,,
36,0.076,0.428,,,,
37,0.08,0.428,,,,
38,0.08,0.432,,,,
39,0.084,0.432,,,,
40,0.084,0.44,,,,
41,0.088,0.44,,,,
42,0.088,0.48,,,,
43,0.092,0.48,,,,
44,0.092,0.488,,,,
45,0.096,0.488,,,,
46,0.096,0.532,,,,
47,0.104,0.532,,,,
48,0.104,0.54,,,,
49,0.108,0.54,,,,
50,0.108,0.544,,,,
51,0.112,0.544,,,,
52,0.112,0.556,,,,
53,0.116,0.556,,,,
54,0.116,0.56,,,,
55,0.124,0.56,,,,
56,0.124,0.6,,,,
57,0.128,0.6,,,,
58,0.128,0.604,,,,
59,0.14,0.604,,,,
60,0.14,0.608,,,,
61,0.156,0.608,,,,
62,0.156,0.62,,,,
63,0.172,0.62,,,,
64,0.172,0.624,,,,
65,0.184,0.624,,,,
66,0.184,0.628,,,,
67,0.192,0.628,,,,
68,0.192,0.632,,,,
69,0.196,0.632,,,,
70,0.196,0.636,,,,
71,0.2,0.636,,,,
72,0.2,0.644,,,,
73,0.204,0.644,,,,
74,0.204,0.66,,,,
75,0.208,0.66,,,,
76,0.208,0.672,,,,
77,0.212,0.672,,,,
78,0.212,0.676,,,,
79,0.216,0.676,,,,
80,0.216,0.692,,,,
81,0.22,0.692,,,,
82,0.22,0.696,,,,
83,0.224,0.696,,,,
84,0.224,0.708,,,,
85,0.228,0.708,,,,
86,0.228,0.712,,,,
87,0.232,0.712,,,,
88,0.232,0.72,,,,
89,0.236,0.72,,,,
90,0.236,0.724,,,,
91,0.248,0.724,,,,
92,0.248,0.744,,,,
93,0.256,0.744,,,,
94,0.256,0.756,,,,
95,0.26,0.756,,,,
96,0.26,0.764,,,,
97,0.264,0.764,,,,
98,0.264,0.788,,,,
99,0.268,0.788,,,,
100,0.268,0.8,,,,
101,0.272,0.8,,,,
102,0.272,0.816,,,,
103,0.28,0.816,,,,
104,0.28,0.82,,,,
105,0.3,0.82,,,,
106,0.3,0.832,,,,
107,0.312,0.832,,,,
108,0.312,0.836,,,,
109,0.32,0.836,,,,
110,0.32,0.84,,,,
111,0.336,0.84,,,,
112,0.336,0.844,,,,
113,0.34,0.844,,,,
114,0.34,0.848,,,,
115,0.368,0.848,,,,
116,0.368,0.852,,,,
117,0.384,0.852,,,,
118,0.384,0.856,,,,
119,0.396,0.856,,,,
120,0.396,0.86,,,,
121,0.412,0.86,,,,
122,0.412,0.864,,,,
123,0.428,0.864,,,,
124,0.428,0.872,,,,
125,0.432,0.872,,,,
126,0.432,0.876,,,,
127,0.44,0.876,,,,
128,0.44,0.88,,,,
129,0.444,0.88,,,,
130,0.444,0.884,,,,
131,0.464,0.884,,,,
132,0.464,0.892,,,,
133,0.488,0.892,,,,
134,0.488,0.896,,,,
135,0.496,0.896,,,,
136,0.496,0.9,,,,
137,0.5,0.9,,,,
138,0.5,0.904,,,,
139,0.512,0.904,,,,
140,0.512,0.908,,,,
141,0.528,0.908,,,,
142,0.528,0.912,,,,
143,0.56,0.912,,,,
144,0.56,0.916,,,,
145,0.568,0.916,,,,
146,0.568,0.92,,,,
147,0.576,0.92,,,,
148,0.576,0.924,,,,
149,0.584,0.924,,,,
150,0.584,0.928,,,,
151,0.612,0.928,,,,
152,0.612,0.932,,,,
153,0.656,0.932,,,,
154,0.656,0.936,,,,
155,0.66,0.936,,,,
156,0.66,0.94,,,,
157,0.74,0.94,,,,
158,0.74,0.952,,,,
159,0.78,0.952,,,,
160,0.78,0.956,,,,
161,0.784,0.956,,,,
162,0.784,0.96,,,,
163,0.796,0.96,,,,
164,0.796,0.968,,,,
165,0.804,0.968,,,,
166,0.804,0.972,,,,
167,0.88,0.972,,,,
168,0.88,0.976,,,,
169,0.888,0.976,,,,
170,0.888,0.98,,,,
171,0.9,0.98,,,,
172,0.9,0.984,,,,
173,0.948,0.984,,,,
174,0.948,0.988,,,,
175,0.956,0.988,,,,
176,0.956,0.992,,,,
177,0.96,0.992,,,,
178,0.96,0.996,,,,
179,0.968,0.996,,,,
180,0.968,1.0,,,,
181,1.0,1.0,,,,
0,,,0.0,0.0,,
1,,,0.0,0.004,,
2,,,0.0,0.032,,
3,,,0.004,0.032,,
4,,,0.004,0.112,,
5,,,0.008,0.112,,
6,,,0.008,0.116,,
7,,,0.012,0.116,,
8,,,0.012,0.128,,
9,,,0.02,0.128,,
10,,,0.02,0.144,,
11,,,0.024,0.144,,
12,,,0.024,0.152,,
13,,,0.032,0.152,,
14,,,0.032,0.176,,
15,,,0.036,0.176,,
16,,,0.036,0.212,,
17,,,0.04,0.212,,
18,,,0.04,0.224,,
19,,,0.044,0.224,,
20,,,0.044,0.244,,
21,,,0.056,0.244,,
22,,,0.056,0.248,,
23,,,0.06,0.248,,
24,,,0.06,0.256,,
25,,,0.064,0.256,,
26,,,0.064,0.272,,
27,,,0.068,0.272,,
28,,,0.068,0.28,,
29,,,0.072,0.28,,
30,,,0.072,0.296,,
31,,,0.076,0.296,,
32,,,0.076,0.304,,
33,,,0.08,0.304,,
34,,,0.08,0.352,,
35,,,0.084,0.352,,
36,,,0.084,0.36,,
37,,,0.092,0.36,,
38,,,0.092,0.38,,
39,,,0.096,0.38,,
40,,,0.096,0.412,,
41,,,0.1,0.412,,
42,,,0.1,0.436,,
43,,,0.116,0.436,,
44,,,0.116,0.448,,
45,,,0.12,0.448,,
46,,,0.12,0.472,,
47,,,0.124,0.472,,
48,,,0.124,0.48,,
49,,,0.128,0.48,,
50,,,0.128,0.484,,
51,,,0.132,0.484,,
52,,,0.132,0.492,,
53,,,0.136,0.492,,
54,,,0.136,0.496,,
55,,,0.14,0.496,,
56,,,0.14,0.5,,
57,,,0.156,0.5,,
58,,,0.156,0.512,,
59,,,0.16,0.512,,
60,,,0.16,0.532,,
61,,,0.164,0.532,,
62,,,0.164,0.536,,
63,,,0.168,0.536,,
64,,,0.168,0.544,,
65,,,0.172,0.544,,
66,,,0.172,0.56,,
67,,,0.188,0.56,,
68,,,0.188,0.568,,
69,,,0.192,0.568,,
70,,,0.192,0.572,,
71,,,0.204,0.572,,
72,,,0.204,0.584,,
73,,,0.212,0.584,,
74,,,0.212,0.592,,
75,,,0.224,0.592,,
76,,,0.224,0.616,,
77,,,0.228,0.616,,
78,,,0.228,0.632,,
79,,,0.236,0.632,,
80,,,0.236,0.648,,
81,,,0.244,0.648,,
82,,,0.244,0.652,,
83,,,0.252,0.652,,
84,,,0.252,0.688,,
85,,,0.26,0.688,,
86,,,0.26,0.696,,
87,,,0.268,0.696,,
88,,,0.268,0.712,,
89,,,0.272,0.712,,
90,,,0.272,0.732,,
91,,,0.276,0.732,,
92,,,0.276,0.736,,
93,,,0.284,0.736,,
94,,,0.284,0.74,,
95,,,0.292,0.74,,
96,,,0.292,0.744,,
97,,,0.296,0.744,,
98,,,0.296,0.748,,
99,,,0.3,0.748,,
100,,,0.3,0.752,,
101,,,0.304,0.752,,
102,,,0.304,0.756,,
103,,,0.316,0.756,,
104,,,0.316,0.76,,
105,,,0.324,0.76,,
106,,,0.324,0.764,,
107,,,0.332,0.764,,
108,,,0.332,0.768,,
109,,,0.344,0.768,,
110,,,0.344,0.772,,
111,,,0.356,0.772,,
112,,,0.356,0.792,,
113,,,0.364,0.792,,
114,,,0.364,0.796,,
115,,,0.372,0.796,,
116,,,0.372,0.8,,
117,,,0.376,0.8,,
118,,,0.376,0.808,,
119,,,0.392,0.808,,
120,,,0.392,0.816,,
121,,,0.396,0.816,,
122,,,0.396,0.82,,
123,,,0.412,0.82,,
124,,,0.412,0.828,,
125,,,0.42,0.828,,
126,,,0.42,0.844,,
127,,,0.424,0.844,,
128,,,0.424,0.848,,
129,,,0.444,0.848,,
130,,,0.444,0.852,,
131,,,0.448,0.852,,
132,,,0.448,0.856,,
133,,,0.468,0.856,,
134,,,0.468,0.86,,
135,,,0.472,0.86,,
136,,,0.472,0.864,,
137,,,0.476,0.864,,
138,,,0.476,0.872,,
139,,,0.504,0.872,,
140,,,0.504,0.876,,
141,,,0.508,0.876,,
142,,,0.508,0.884,,
143,,,0.516,0.884,,
144,,,0.516,0.888,,
145,,,0.524,0.888,,
146,,,0.524,0.892,,
147,,,0.54,0.892,,
148,,,0.54,0.9,,
149,,,0.564,0.9,,
150,,,0.564,0.904,,
151,,,0.568,0.904,,
152,,,0.568,0.908,,
153,,,0.592,0.908,,
154,,,0.592,0.912,,
155,,,0.6,0.912,,
156,,,0.6,0.92,,
157,,,0.608,0.92,,
158,,,0.608,0.924,,
159,,,0.612,0.924,,
160,,,0.612,0.936,,
161,,,0.636,0.936,,
162,,,0.636,0.94,,
163,,,0.688,0.94,,
164,,,0.688,0.944,,
165,,,0.724,0.944,,
166,,,0.724,0.948,,
167,,,0.752,0.948,,
168,,,0.752,0.952,,
169,,,0.764,0.952,,
170,,,0.764,0.956,,
171,,,0.768,0.956,,
172,,,0.768,0.96,,
173,,,0.772,0.96,,
174,,,0.772,0.968,,
175,,,0.788,0.968,,
176,,,0.788,0.976,,
177,,,0.84,0.976,,
178,,,0.84,0.98,,
179,,,0.904,0.98,,
180,,,0.904,0.984,,
181,,,0.952,0.984,,
182,,,0.952,0.988,,
183,,,0.96,0.988,,
184,,,0.96,0.992,,
185,,,0.976,0.992,,
186,,,0.976,0.996,,
187,,,0.988,0.996,,
188,,,0.988,1.0,,
189,,,1.0,1.0,,
0,,,,,0.0,0.0
1,,,,,0.0,0.004
2,,,,,0.0,0.028
3,,,,,0.004,0.028
4,,,,,0.004,0.116
5,,,,,0.012,0.116
6,,,,,0.012,0.12
7,,,,,0.016,0.12
8,,,,,0.016,0.124
9,,,,,0.02,0.124
10,,,,,0.02,0.136
11,,,,,0.028,0.136
12,,,,,0.028,0.156
13,,,,,0.032,0.156
14,,,,,0.032,0.188
15,,,,,0.04,0.188
16,,,,,0.04,0.212
17,,,,,0.044,0.212
18,,,,,0.044,0.268
19,,,,,0.048,0.268
20,,,,,0.048,0.28
21,,,,,0.052,0.28
22,,,,,0.052,0.292
23,,,,,0.06,0.292
24,,,,,0.06,0.296
25,,,,,0.064,0.296
26,,,,,0.064,0.312
27,,,,,0.068,0.312
28,,,,,0.068,0.32
29,,,,,0.076,0.32
30,,,,,0.076,0.344
31,,,,,0.084,0.344
32,,,,,0.084,0.356
33,,,,,0.088,0.356
34,,,,,0.088,0.38
35,,,,,0.092,0.38
36,,,,,0.092,0.396
37,,,,,0.096,0.396
38,,,,,0.096,0.408
39,,,,,0.1,0.408
40,,,,,0.1,0.412
41,,,,,0.104,0.412
42,,,,,0.104,0.436
43,,,,,0.108,0.436
44,,,,,0.108,0.448
45,,,,,0.112,0.448
46,,,,,0.112,0.46
47,,,,,0.12,0.46
48,,,,,0.12,0.464
49,,,,,0.128,0.464
50,,,,,0.128,0.472
51,,,,,0.136,0.472
52,,,,,0.136,0.48
53,,,,,0.14,0.48
54,,,,,0.14,0.488
55,,,,,0.144,0.488
56,,,,,0.144,0.492
57,,,,,0.148,0.492
58,,,,,0.148,0.516
59,,,,,0.156,0.516
60,,,,,0.156,0.52
61,,,,,0.168,0.52
62,,,,,0.168,0.524
63,,,,,0.172,0.524
64,,,,,0.172,0.536
65,,,,,0.188,0.536
66,,,,,0.188,0.556
67,,,,,0.196,0.556
68,,,,,0.196,0.56
69,,,,,0.2,0.56
70,,,,,0.2,0.588
71,,,,,0.204,0.588
72,,,,,0.204,0.596
73,,,,,0.208,0.596
74,,,,,0.208,0.6
75,,,,,0.224,0.6
76,,,,,0.224,0.604
77,,,,,0.228,0.604
78,,,,,0.228,0.608
79,,,,,0.236,0.608
80,,,,,0.236,0.628
81,,,,,0.24,0.628
82,,,,,0.24,0.636
83,,,,,0.248,0.636
84,,,,,0.248,0.648
85,,,,,0.256,0.648
86,,,,,0.256,0.66
87,,,,,0.264,0.66
88,,,,,0.264,0.664
89,,,,,0.268,0.664
90,,,,,0.268,0.672
91,,,,,0.272,0.672
92,,,,,0.272,0.7
93,,,,,0.284,0.7
94,,,,,0.284,0.716
95,,,,,0.288,0.716
96,,,,,0.288,0.72
97,,,,,0.304,0.72
98,,,,,0.304,0.724
99,,,,,0.308,0.724
100,,,,,0.308,0.732
101,,,,,0.312,0.732
102,,,,,0.312,0.748
103,,,,,0.324,0.748
104,,,,,0.324,0.756
105,,,,,0.332,0.756
106,,,,,0.332,0.764
107,,,,,0.336,0.764
108,,,,,0.336,0.78
109,,,,,0.344,0.78
110,,,,,0.344,0.784
111,,,,,0.36,0.784
112,,,,,0.36,0.788
113,,,,,0.368,0.788
114,,,,,0.368,0.792
115,,,,,0.38,0.792
116,,,,,0.38,0.804
117,,,,,0.384,0.804
118,,,,,0.384,0.808
119,,,,,0.388,0.808
120,,,,,0.388,0.812
121,,,,,0.404,0.812
122,,,,,0.404,0.828
123,,,,,0.408,0.828
124,,,,,0.408,0.836
125,,,,,0.412,0.836
126,,,,,0.412,0.84
127,,,,,0.428,0.84
128,,,,,0.428,0.844
129,,,,,0.436,0.844
130,,,,,0.436,0.848
131,,,,,0.44,0.848
132,,,,,0.44,0.852
133,,,,,0.456,0.852
134,,,,,0.456,0.86
135,,,,,0.464,0.86
136,,,,,0.464,0.864
137,,,,,0.496,0.864
138,,,,,0.496,0.872
139,,,,,0.5,0.872
140,,,,,0.5,0.876
141,,,,,0.504,0.876
142,,,,,0.504,0.88
143,,,,,0.512,0.88
144,,,,,0.512,0.884
145,,,,,0.528,0.884
146,,,,,0.528,0.888
147,,,,,0.536,0.888
148,,,,,0.536,0.892
149,,,,,0.556,0.892
150,,,,,0.556,0.896
151,,,,,0.568,0.896
152,,,,,0.568,0.9
153,,,,,0.58,0.9
154,,,,,0.58,0.904
155,,,,,0.592,0.904
156,,,,,0.592,0.912
157,,,,,0.612,0.912
158,,,,,0.612,0.928
159,,,,,0.672,0.928
160,,,,,0.672,0.936
161,,,,,0.68,0.936
162,,,,,0.68,0.94
163,,,,,0.692,0.94
164,,,,,0.692,0.956
165,,,,,0.704,0.956
166,,,,,0.704,0.964
167,,,,,0.756,0.964
168,,,,,0.756,0.968
169,,,,,0.784,0.968
170,,,,,0.784,0.976
171,,,,,0.82,0.976
172,,,,,0.82,0.984
173,,,,,0.928,0.984
174,,,,,0.928,0.988
175,,,,,0.952,0.988
176,,,,,0.952,0.992
177,,,,,0.972,0.992
178,,,,,0.972,0.996
179,,,,,0.988,0.996
180,,,,,0.988,1.0
181,,,,,1.0,1.0
